vote_id,ballot_id,candidate_id,election_id
7d6b0c4c-f34f-4c24-9377-151c6a452977,d3ba4459-2c53-4fb3-aa15-4a8d28304e03,580ea47a-2b02-478f-baa4-ad9cbfcbcb69,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
daae5509-64b7-4646-82f0-d25bb539fce8,a2c2d909-715e-4780-aa50-d929cb622af1,ee8960a9-078d-49fb-b391-50a7e34beb34,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
3c46ba60-5852-49c4-a672-ee20d54f2342,cd8dcd5c-2c75-4844-a50b-50261e4c03af,34bd8a49-262b-4024-a3cd-bbb31f32f9c1,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
43f7197d-2e71-4ef9-9d6d-b6f33ef11951,a20ad4b7-6ada-41d1-a485-8712edaff97b,34bd8a49-262b-4024-a3cd-bbb31f32f9c1,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
6482843b-a16c-4a1a-b4fd-a6efa2cef88f,c187224e-bab8-4e46-b99b-43b9127bf0b8,0cd4c597-e475-4648-b771-5074dfbbe9b7,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
4ef7ec21-02a1-4a45-9098-f2048bb0af74,b628e8b9-fff4-4a49-8915-81eabbcea5aa,791303d8-ae90-409c-933e-0e2c07fec004,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
cb3b49d8-b90b-41e0-a804-004932afc75a,8bc2d693-6c19-4d02-a76b-7f8ea2c116c9,ee8960a9-078d-49fb-b391-50a7e34beb34,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
aa7ddbf2-3820-4fee-9fd6-1a1fed29f748,e7143709-b8e9-4057-be10-fc1f4728dbb7,791303d8-ae90-409c-933e-0e2c07fec004,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
ed48298b-5103-41ec-b228-d8143b207a7f,26bf64a6-9583-4fe5-8692-ca1be86db424,23c86427-a5a4-4d51-8798-e7cc3c117071,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
e01d9062-d2e7-43b7-a591-a3e59090c9a9,c70974ac-4882-4198-abf0-aecac20a6e0b,791303d8-ae90-409c-933e-0e2c07fec004,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
ed1507e9-ce11-4f5b-be43-ec5127449e32,7e241a6b-ce0c-45df-b730-68cefd61c3ea,ee8960a9-078d-49fb-b391-50a7e34beb34,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
ac522588-8019-4cb5-a833-213c849bc718,96258940-be4a-4549-8345-c00cb7e9a9ab,23c86427-a5a4-4d51-8798-e7cc3c117071,c67a58a2-f21f-4ac0-bbdd-ca9b82aa299c
